# 
# DESCRIPTION: Observed spectral energy distribution for M87 around the EHT campaign in April 2017.
#  For details of the data processing and analysis methods, please see the documentation the online
#  data repository and the associated publication: Algaba et al. (2021), ApJL, x, y.
#
# COLUMNS: band minimum, center, maximum (Hz), flux density & uncertainty (Jy), dataset index
# 
# --- (1) EVN --------------------------------
1.70e+09 1.70e+09 1.70e+09 7.50e-01 8.00e-02 1
# 
# --- (2) HSA --------------------------------
8.40e+09 8.40e+09 8.40e+09 1.30e+00 1.30e-01 2
1.50e+10 1.50e+10 1.50e+10 1.13e+00 1.10e-01 2
2.40e+10 2.40e+10 2.40e+10 1.22e+00 1.20e-01 2
# 
# --- (3) VERA -------------------------------
2.20e+10 2.20e+10 2.20e+10 1.32e+00 1.30e-01 3
# 
# --- (4) EAVN -------------------------------
2.20e+10 2.20e+10 2.20e+10 1.34e+00 1.30e-01 4
4.30e+10 4.30e+10 4.30e+10 1.10e+00 1.10e-01 4
#
# --- (5) KVN --------------------------------
2.17e+10 2.17e+10 2.17e+10 1.63e+00 1.70e-01 5
4.34e+10 4.34e+10 4.34e+10 1.31e+00 1.30e-01 5
8.68e+10 8.68e+10 8.68e+10 1.09e+00 1.10e-01 5
1.29e+11 1.29e+11 1.29e+11 8.30e-01 2.50e-01 5
# 
# --- (6) VLBA--------------------------------
4.30e+10 4.30e+10 4.30e+10 8.42e-01 8.40e-02 6
# 
# --- (7) GMVA -------------------------------
8.63e+10 8.63e+10 8.63e+10 7.30e-01 2.20e-01 7
# 
# --- (8) SMA --------------------------------
2.20e+11 2.20e+11 2.20e+11 1.32e+00 1.30e-01 8
#
# --- (9) ALMA -------------------------------
2.21e+11 2.21e+11 2.21e+11 1.30e+00 1.30e-01 9
# 
# --- (10) EHT --------------------------------
2.29e+11 2.29e+11 2.29e+11 6.60e-01 1.60e-01 10
# 
# --- (11) HST --------------------------------
5.18e+14 5.19e+14 5.20e+14 4.91e-04 0.40e-04 11
1.09e+15 1.10e+15 1.11e+15 1.64e-04 0.24e-04 11
#
# --- (12) Swift/UVOT -------------------------
5.46e+14 5.47e+14 5.48e+14 7.92e-04 2.85e-04 12
6.81e+14 6.82e+14 6.83e+14 3.87e-04 2.09e-04 12
8.64e+14 8.65e+14 8.66e+14 1.49e-04 0.81e-04 12
1.14e+15 1.15e+15 1.16e+15 0.82e-04 0.37e-04 12
1.32e+15 1.33e+15 1.34e+15 1.92e-04 0.29e-04 12
1.54e+15 1.55e+15 1.56e+15 0.89e-04 0.23e-04 12
# 
# --- (13) Swift/XRT --------------------------
4.84e+17 1.08e+18 2.42e+18 9.99e-99 2.08e-07 13
#
# --- (14) Chandra+NuSTAR ---------------------
9.68e+16 1.09e+17 1.24e+17 9.52e-07 8.44e-08 14
1.24e+17 1.40e+17 1.58e+17 7.30e-07 5.58e-08 14
1.58e+17 1.79e+17 2.03e+17 5.61e-07 3.61e-08 14
2.03e+17 2.29e+17 2.59e+17 4.32e-07 2.28e-08 14
2.59e+17 2.93e+17 3.31e+17 3.31e-07 1.39e-08 14
3.31e+17 3.75e+17 4.24e+17 2.54e-07 8.37e-09 14
4.24e+17 4.80e+17 5.42e+17 1.95e-07 5.23e-09 14
5.42e+17 6.13e+17 6.94e+17 1.50e-07 3.88e-09 14
6.94e+17 7.85e+17 8.87e+17 1.15e-07 3.53e-09 14
8.87e+17 1.00e+18 1.14e+18 8.85e-08 3.45e-09 14
1.14e+18 1.28e+18 1.45e+18 6.80e-08 3.34e-09 14
1.45e+18 1.64e+18 1.86e+18 5.23e-08 3.15e-09 14
1.86e+18 2.10e+18 2.38e+18 4.02e-08 2.88e-09 14
2.38e+18 2.69e+18 3.04e+18 3.09e-08 2.58e-09 14
3.04e+18 3.44e+18 3.89e+18 2.37e-08 2.26e-09 14
3.89e+18 4.40e+18 4.97e+18 1.83e-08 1.96e-09 14
4.97e+18 5.62e+18 6.36e+18 1.41e-08 1.68e-09 14
6.36e+18 7.19e+18 8.13e+18 1.08e-08 1.42e-09 14
8.13e+18 9.20e+18 1.04e+19 8.32e-09 1.20e-09 14
1.04e+19 1.18e+19 1.33e+19 6.40e-09 1.00e-06 14
# 
# --- (15) Fermi/LAT --------------------------
2.42e+22 7.65e+22 2.42e+23 4.27e-12 1.32e-12 15
2.42e+23 7.65e+23 2.42e+24 2.45e-13 9.83e-14 15
2.42e+24 7.65e+24 2.42e+25 6.49e-14 3.87e-14 15
2.42e+25 7.65e+25 2.42e+26 9.99e-99 6.88e-14 15
# 
# --- (16) H.E.S.S ----------------------------
5.80e+25 7.31e+25 9.20e+25 9.99e-99 4.40e-15 16
9.20e+25 1.16e+26 1.46e+26 9.99e-99 1.24e-15 16
1.46e+26 1.83e+26 2.31e+26 9.99e-99 5.32e-16 16
2.31e+26 2.91e+26 3.66e+26 9.99e-99 3.05e-16 16
3.66e+26 4.61e+26 5.80e+26 9.99e-99 1.67e-16 16
# 
# --- (17) MAGIC ------------------------------
3.04e+25 3.82e+25 4.81e+25 3.68e-15 2.14e-15 17
